time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail,trace_id_front,trace_id_tail
1674.0,60.26452969980186,15.818423863787258,301.0,1.0,3.0,47.0,1706.0,60.143804215546574,14.789117053084778,301.0,2.0,3.0,5651.0,2,2
1679.0,60.275563198032,15.805243736644073,302.0,1.0,3.0,48.0,1710.0,60.15806206435633,14.830097317223018,302.0,2.0,3.0,5652.0,2,2
1683.0,60.28399244653437,15.401937269590103,303.0,1.0,3.0,49.0,1712.0,60.17490444302646,14.84251104124542,303.0,2.0,3.0,5653.0,2,2
1686.0,60.29434945688669,15.959470846998457,304.0,1.0,3.0,50.0,1714.0,60.18993783377408,14.901026133738013,304.0,2.0,3.0,5654.0,2,2
1690.0,60.3019480228131,15.516034303817277,305.0,1.0,3.0,51.0,1716.0,60.20663584176109,14.980451443005313,305.0,2.0,3.0,5655.0,2,2
1694.0,60.31235342679296,15.217379534462085,306.0,1.0,3.0,52.0,1718.0,60.22779920985758,14.794049768780836,306.0,2.0,3.0,5656.0,2,2
1698.0,60.32746797327656,15.738174358428404,307.0,1.0,3.0,53.0,1722.0,60.24556334025807,14.697220035953237,307.0,2.0,3.0,5657.0,2,2
1702.0,60.33853074698875,15.60540191623975,308.0,1.0,3.0,54.0,1726.0,60.25697187842616,14.934034548798998,308.0,2.0,3.0,5658.0,2,2
1706.0,60.34910165832016,15.326356531353785,309.0,1.0,3.0,55.0,1728.0,60.27564173249554,14.670654643254757,309.0,2.0,3.0,5659.0,2,2
1710.0,60.36484521756775,16.161468492396953,310.0,1.0,3.0,56.0,1732.0,60.2908421264959,14.995151552840635,310.0,2.0,3.0,5660.0,2,2
1715.0,60.376075580980704,15.169390051446149,311.0,1.0,3.0,57.0,1735.0,60.30777739382404,14.880639640322114,311.0,2.0,3.0,5661.0,2,2
1719.0,60.390779983955234,15.969031093373165,312.0,1.0,3.0,58.0,1738.0,60.32402352498468,14.670391364892245,312.0,2.0,3.0,5662.0,2,2
1724.0,60.40222537098088,15.700123143198027,313.0,1.0,3.0,59.0,1742.0,60.337511419602095,14.708262673849104,313.0,2.0,3.0,5663.0,2,2
1729.0,60.41289115056822,15.423451154958908,314.0,1.0,3.0,60.0,1746.0,60.35000829738267,14.870256845488468,314.0,2.0,3.0,5664.0,2,2
1735.0,60.42331019112029,15.289709578365004,315.0,1.0,3.0,61.0,1750.0,60.36667364235719,14.232577267289916,315.0,2.0,3.0,5665.0,2,2
1744.0,60.42279031860233,15.036288299269795,316.0,1.0,3.0,62.0,1756.0,60.377474684967815,14.65107795800733,316.0,2.0,3.0,5666.0,2,2
1750.0,60.4288164714384,15.3635318384452,317.0,1.0,3.0,63.0,1760.0,60.39094557575808,14.212645949662164,317.0,2.0,3.0,5667.0,2,2
1756.0,60.431543311425,15.216362853036184,318.0,1.0,3.0,64.0,1764.0,60.40052478551005,14.548229305983044,318.0,2.0,3.0,5668.0,2,2
1761.0,60.43510811204197,15.190297195976262,319.0,1.0,3.0,65.0,1768.0,60.40781409835779,14.657687575998676,319.0,2.0,3.0,5669.0,2,2
1765.0,60.44144480146347,15.522757565551895,320.0,1.0,3.0,66.0,1772.0,60.41377467147537,14.963208008904852,320.0,2.0,3.0,5670.0,2,2
1770.0,60.446939241290906,15.500006206572053,321.0,1.0,3.0,67.0,1776.0,60.422903205363006,14.941717485751592,321.0,2.0,3.0,5671.0,2,2
1777.0,60.44836183821391,15.189693756828644,322.0,1.0,3.0,68.0,1778.0,60.44421208762071,14.939102135550748,322.0,2.0,3.0,5672.0,2,2
2034.0,61.53739972100982,15.04815988317351,390.0,1.0,3.0,69.0,2041.0,61.50922985595503,14.788865690238865,390.0,2.0,3.0,5673.0,3,3
2039.0,61.56978611236286,15.112762175170705,391.0,1.0,3.0,70.0,2049.0,61.530974793408575,14.48563153375834,391.0,2.0,3.0,5674.0,3,3
2045.0,61.59072269964563,15.011149781088411,392.0,1.0,3.0,71.0,2056.0,61.54863629031406,14.839279854700196,392.0,2.0,3.0,5675.0,3,3
2049.0,61.60769590534774,15.161455029181347,393.0,1.0,3.0,72.0,2060.0,61.56522475052143,14.637944787877952,393.0,2.0,3.0,5676.0,3,3
