time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail
6580.0,60.87482927641791,15.711617125616796,1265,1,1,4462,6611.0,60.8027569719338,14.947103599991689,1265.0,2.0,1.0,11715.0
6649.0,60.58579316453897,15.592105858649148,1265,1,1,4463,6710.0,60.47121064737858,14.65309709378429,1265.0,2.0,1.0,11716.0
6846.0,59.3690036109031,15.613390512602471,1265,1,1,4464,6941.0,59.19939305199664,14.39948677423728,1265.0,2.0,1.0,11717.0
6345.0,62.53332830810195,15.035075757170114,1266,1,1,4465,6347.0,62.52501023167661,14.990838806137909,1266.0,2.0,1.0,11718.0
6431.0,61.93437356868199,15.549600718309994,1266,1,1,4466,6459.0,61.87261367131028,13.942411540393351,1266.0,2.0,1.0,11719.0
6475.0,61.79017243071633,15.38821073171643,1266,1,1,4467,6497.0,61.73411103158345,13.533557477220803,1266.0,2.0,1.0,11720.0
6582.0,60.88616743812326,18.026957310465647,1266,1,1,4468,6613.0,60.81340326878375,14.928692146831931,1266.0,2.0,1.0,11721.0
6651.0,60.59774498805378,16.17980676077423,1266,1,1,4469,6713.0,60.4795620072552,14.546069645591484,1266.0,2.0,1.0,11722.0
6849.0,59.37881048312847,15.525921039837757,1266,1,1,4470,6944.0,59.209307539756665,13.943400998053605,1266.0,2.0,1.0,11723.0
6434.0,61.94369394047511,15.632487291021429,1267,1,1,4471,6462.0,61.88135625147091,14.213965917307457,1267.0,2.0,1.0,11724.0
6478.0,61.79877768570502,15.010703834503111,1267,1,1,4472,6500.0,61.740385963894646,14.383001377986806,1267.0,2.0,1.0,11725.0
6585.0,60.89293725405471,16.613380657338418,1267,1,1,4473,6614.0,60.82839920266265,13.979702621049052,1267.0,2.0,1.0,11726.0
6654.0,60.60472903465643,15.576096753082847,1267,1,1,4474,6716.0,60.4870545092921,14.40449411833837,1267.0,2.0,1.0,11727.0
6852.0,59.38923723877962,15.892022613865572,1267,1,1,4475,6947.0,59.21861173210008,13.78561133321567,1267.0,2.0,1.0,11728.0
6438.0,61.94917417515387,15.126375115002189,1268,1,1,4476,6465.0,61.890274639018,14.383389888468074,1268.0,2.0,1.0,11729.0
6480.0,61.81149617206075,15.537197194934537,1268,1,1,4477,6502.0,61.75095845540969,13.691844033946872,1268.0,2.0,1.0,11730.0
6587.0,60.90347941166984,18.69487158995615,1268,1,1,4478,6617.0,60.83541534735913,14.977261741499817,1268.0,2.0,1.0,11731.0
6656.0,60.61582778285464,16.051646509513265,1268,1,1,4479,6719.0,60.49448442828879,14.379182552758442,1268.0,2.0,1.0,11732.0
6855.0,59.399550975458745,16.381894148154256,1268,1,1,4480,6950.0,59.22874687783374,13.678554955999358,1268.0,2.0,1.0,11733.0
6441.0,61.958675014598015,15.595832170164954,1269,1,1,4481,6468.0,61.89890273423875,14.52148001793806,1269.0,2.0,1.0,11734.0
6483.0,61.81989182344266,15.248875188078989,1269,1,1,4482,6505.0,61.75713492244962,14.41943265820251,1269.0,2.0,1.0,11735.0
6590.0,60.90918002379716,16.670121342396953,1269,1,1,4483,6618.0,60.84887899499461,14.202465103050947,1269.0,2.0,1.0,11736.0
6659.0,60.62033206929084,15.249843143487476,1269,1,1,4484,6722.0,60.498201927771966,14.93415222177147,1269.0,2.0,1.0,11737.0
6858.0,59.40630898137776,15.944914784565444,1269,1,1,4485,6953.0,59.23546656286677,14.260776751811218,1269.0,2.0,1.0,11738.0
6445.0,61.96338551636621,15.244948627209068,1270,1,1,4486,6471.0,61.90720302892441,14.620585542147229,1270.0,2.0,1.0,11739.0
6486.0,61.82839474308142,15.015163515112016,1270,1,1,4487,6508.0,61.76391531810872,14.868016825276944,1270.0,2.0,1.0,11740.0
6593.0,60.91580613205295,15.270169819063176,1270,1,1,4488,6620.0,60.85919505705692,14.589007364566768,1270.0,2.0,1.0,11741.0
6661.0,60.62938430897826,15.585864197003302,1270,1,1,4489,6724.0,60.50579741306539,14.379998106319304,1270.0,2.0,1.0,11742.0
6861.0,59.41318955667238,15.463376536328989,1270,1,1,4490,6956.0,59.24092842111006,14.955719309035148,1270.0,2.0,1.0,11743.0
6448.0,61.97265850429337,16.06480601069113,1271,1,1,4491,6474.0,61.91464015772933,14.581540008713256,1271.0,2.0,1.0,11744.0
6488.0,61.84064397128058,15.595202094463588,1271,1,1,4492,6510.0,61.77413222464141,13.98296420547149,1271.0,2.0,1.0,11745.0
6595.0,60.92557437040143,16.850517258653504,1271,1,1,4493,6622.0,60.870278134652175,14.77216225305241,1271.0,2.0,1.0,11746.0
6663.0,60.63852084176555,15.839210404896672,1271,1,1,4494,6726.0,60.51368531196539,13.972635379256907,1271.0,2.0,1.0,11747.0
