time,space,speed,v_id,wave_type,lane,unique_index
1812.0,60.55609168850233,14.943242460047406,326,2,2,6219
1803.0,60.62375484689066,14.909635269909709,327,2,2,6220
1807.0,60.63517556875348,14.862397827267982,328,2,2,6221
1810.0,60.64719430608378,14.361683881093022,329,2,2,6222
1814.0,60.65515989657134,14.755465528188736,330,2,2,6223
1818.0,60.666024851316685,14.687113044353191,331,2,2,6224
1823.0,60.67649863540716,14.998741391842636,332,2,2,6225
1828.0,60.68956311393985,14.690496313063372,333,2,2,6226
1832.0,60.70329349132668,14.11313664289702,334,2,2,6227
1836.0,60.71333974995613,14.208479759496509,335,2,2,6228
1840.0,60.72219381040392,14.553404117808933,336,2,2,6229
1843.0,60.73435420884797,14.033648690828995,337,2,2,6230
1847.0,60.74493624752852,14.29775303264123,338,2,2,6231
1851.0,60.75440181732318,14.806566912008522,339,2,2,6232
1854.0,60.76802145593433,14.46419965862668,340,2,2,6233
1858.0,60.78028038498821,14.874632738999791,341,2,2,6234
1862.0,60.79609534565978,14.831814911265552,342,2,2,6235
1866.0,60.81276753936895,14.9456209857814,343,2,2,6236
1870.0,60.8311873096398,14.506575382777072,344,2,2,6237
1875.0,60.84989936119459,14.631122120572744,345,2,2,6238
1879.0,60.871284144242544,13.688984226404513,346,2,2,6239
1884.0,60.8867468106632,14.337617391085242,347,2,2,6240
1888.0,60.89852388119633,14.882906977860651,348,2,2,6241
1860.0,61.01821590931003,14.864043964992696,349,2,2,6242
1891.0,60.90977359537423,14.993686802019717,349,2,2,6243
1893.0,60.92240266791761,13.736266236193988,350,2,2,6244
1896.0,60.93233549786781,13.61639256101077,351,2,2,6245
1870.0,61.0533608413048,14.913298896511662,352,2,2,6246
1900.0,60.94355778663424,14.0232144478264,352,2,2,6247
1878.0,61.05733551930541,14.992046192818504,353,2,2,6248
1905.0,60.959266968772326,13.907015825501208,353,2,2,6249
1883.0,61.077125964426045,14.86050252251848,354,2,2,6250
1911.0,60.97439957095218,14.901231109660602,354,2,2,6251
1889.0,61.09113860179022,14.936515759634162,355,2,2,6252
1916.0,60.99449818137342,13.462753795333535,355,2,2,6253
1893.0,61.10384389009287,14.935689359054278,356,2,2,6254
1921.0,61.00653791312967,13.997326130084527,356,2,2,6255
1896.0,61.11615507085279,14.91891183721635,357,2,2,6256
1925.0,61.01677026711223,14.352513127556596,357,2,2,6257
1899.0,61.12759329477713,14.773481759952722,358,2,2,6258
1929.0,61.025851620438765,14.86753317491829,358,2,2,6259
1903.0,61.13699483563382,14.809100935101162,359,2,2,6260
1933.0,61.03708048612111,14.819600253359326,359,2,2,6261
1907.0,61.15266543090838,14.632999248088726,360,2,2,6262
1937.0,61.05486689490487,13.64489593743685,360,2,2,6263
