time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail,trace_id_front,trace_id_tail,c_id
8176.0,60.197189260944526,15.135633432881171,1553,1,4,5006,8193.0,60.135552708143614,14.605022265938876,1553.0,2.0,4.0,10530.0,225,241,77
8179.0,60.1983163993892,15.090776974528612,1554,1,4,5014,8195.0,60.1404636894456,14.628136749699948,1554.0,2.0,4.0,10538.0,225,241,77
8183.0,60.198888134487376,15.001568164765668,1555,1,4,5021,8198.0,60.14494413534668,14.978940488351132,1555.0,2.0,4.0,10545.0,225,241,77
8187.0,60.20113073979282,15.054984988706154,1556,1,4,5028,8200.0,60.15568603417818,14.179721377081751,1556.0,2.0,4.0,10552.0,225,241,77
8190.0,60.207352821931366,15.603291552838398,1557,1,4,5036,8203.0,60.16168099550932,14.40635222024001,1557.0,2.0,4.0,10560.0,225,241,77
8193.0,60.21273579508868,15.936691653728662,1558,1,4,5044,8206.0,60.16663090754125,14.985097640346291,1558.0,2.0,4.0,10568.0,225,241,77
8197.0,60.21256264718977,15.030898454210432,1559,1,4,5051,8208.0,60.17409954912962,14.701261152070488,1559.0,2.0,4.0,10575.0,225,241,77
8199.0,60.216757534552265,15.361192095813724,1560,1,4,5058,8209.0,60.18179045337501,14.186407742320304,1560.0,2.0,4.0,10582.0,225,241,77
8201.0,60.21894859916593,15.1512058173576,1561,1,4,5065,8211.0,60.18341844013392,14.856564331241383,1561.0,2.0,4.0,10589.0,225,241,77
8203.0,60.22185295265835,15.15754425983998,1562,1,4,5072,8212.0,60.1896027373093,14.500663275666607,1562.0,2.0,4.0,10596.0,225,241,77
8204.0,60.228423744402086,16.501193158577117,1563,1,4,5079,8213.0,60.19565879143777,14.17284469786811,1563.0,2.0,4.0,10603.0,225,241,77
8206.0,60.23031274427322,16.092344073115488,1564,1,4,5086,8215.0,60.19679889213558,14.929749155221202,1564.0,2.0,4.0,10610.0,225,241,77
8208.0,60.23118212444763,15.64153012984048,1565,1,4,5093,8216.0,60.20105158171376,14.853062505299697,1565.0,2.0,4.0,10617.0,225,241,77
8210.0,60.23183586905482,15.101149052864576,1566,1,4,5100,8217.0,60.205095996331394,14.962611422475153,1566.0,2.0,4.0,10624.0,225,241,77
8212.0,60.23332549846665,15.05324270012565,1567,1,4,5107,8217.0,60.21411414810501,14.28587124688065,1567.0,2.0,4.0,10631.0,225,241,77
8214.0,60.23641607540092,15.327252873457878,1568,1,4,5113,8219.0,60.21645507590917,14.953988340071032,1568.0,2.0,4.0,10637.0,225,241,77
8217.0,60.23671306426005,15.287508344532911,1569,1,4,5119,8219.0,60.22848346949821,14.77826587580256,1569.0,2.0,4.0,10643.0,225,241,77
7959.0,59.50587439555036,16.01880153547521,1467,1,4,4535,7969.0,59.46852187921439,14.764055055086578,1467.0,2.0,4.0,10059.0,225,241,77
7966.0,59.53338099832519,15.877141857259872,1468,1,4,4540,7977.0,59.4929728901683,14.95667528945904,1468.0,2.0,4.0,10064.0,225,241,77
7970.0,59.55311842165495,16.323614774256534,1469,1,4,4545,7982.0,59.51104480548175,14.674237479731044,1469.0,2.0,4.0,10069.0,225,241,77
7974.0,59.566660288056624,15.639832208960064,1470,1,4,4550,7986.0,59.52640386298272,14.342178284556123,1470.0,2.0,4.0,10074.0,225,241,77
7977.0,59.57795376401813,15.126926497895347,1471,1,4,4557,7990.0,59.53581478374496,14.644826676353372,1471.0,2.0,4.0,10081.0,225,241,77
7979.0,59.5910851006353,16.03475360595223,1472,1,4,4564,7993.0,59.54724588631248,14.126715351996026,1472.0,2.0,4.0,10088.0,225,241,77
